
-----1  

SVM,VCRUZADAPROCESAMIENTO1,Tiempo,462.49424934387207,K-folds,3,NumTextos,-1
,precision,recall,f1-score,support
0,1.0,1.0,1.0,36.666666666666664
1,1.0,1.0,1.0,26.666666666666668
accuracy,-,-,1.0,63.333333333333336
macro avg,1.0,1.0,1.0,63.333333333333336
weighted avg,1.0,1.0,1.0,63.333333333333336


NAIVE,VCRUZADAPROCESAMIENTO1,Tiempo,461.9208936691284,K-folds,3,NumTextos,-1
,precision,recall,f1-score,support
0,1.0,1.0,1.0,36.666666666666664
1,1.0,1.0,1.0,26.666666666666668
accuracy,-,-,1.0,63.333333333333336
macro avg,1.0,1.0,1.0,63.333333333333336
weighted avg,1.0,1.0,1.0,63.333333333333336


DISTILBERT-BASE-UNCASED,VCRUZADAPROCESAMIENTO1,Tiempo,2091.344172477722,K-folds,3,NumTextos,-1
,precision,recall,f1-score,support
0,1.0,1.0,1.0,36.666666666666664
1,1.0,1.0,1.0,26.666666666666668
accuracy,-,-,1.0,63.333333333333336
macro avg,1.0,1.0,1.0,63.333333333333336
weighted avg,1.0,1.0,1.0,63.333333333333336


DCCUCHILE/BERT-BASE-SPANISH-WWM-CASED,VCRUZADAPROCESAMIENTO1,Tiempo,6711.93279838562,K-folds,3,NumTextos,-1
,precision,recall,f1-score,support
0,1.0,1.0,1.0,36.666666666666664
1,1.0,1.0,1.0,26.666666666666668
accuracy,-,-,1.0,63.333333333333336
macro avg,1.0,1.0,1.0,63.333333333333336
weighted avg,1.0,1.0,1.0,63.333333333333336


PLANTL-GOB-ES/ROBERTA-BASE-BNE,VCRUZADAPROCESAMIENTO1,Tiempo,4865.794182777405,K-folds,3,NumTextos,-1
,precision,recall,f1-score,support
0,1.0,1.0,1.0,36.666666666666664
1,1.0,1.0,1.0,26.666666666666668
accuracy,-,-,1.0,63.333333333333336
macro avg,1.0,1.0,1.0,63.333333333333336
weighted avg,1.0,1.0,1.0,63.333333333333336


BERTIN-PROJECT/BERTIN-ROBERTA-BASE-SPANISH,VCRUZADAPROCESAMIENTO1,Tiempo,5012.07196521759,K-folds,3,NumTextos,-1
,precision,recall,f1-score,support
0,1.0,1.0,1.0,36.666666666666664
1,1.0,1.0,1.0,26.666666666666668
accuracy,-,-,1.0,63.333333333333336
macro avg,1.0,1.0,1.0,63.333333333333336
weighted avg,1.0,1.0,1.0,63.333333333333336


BERT-BASE-MULTILINGUAL-CASED,VCRUZADAPROCESAMIENTO1,Tiempo,6701.025990009308,K-folds,3,NumTextos,-1
,precision,recall,f1-score,support
0,1.0,1.0,1.0,36.666666666666664
1,1.0,1.0,1.0,26.666666666666668
accuracy,-,-,1.0,63.333333333333336
macro avg,1.0,1.0,1.0,63.333333333333336
weighted avg,1.0,1.0,1.0,63.333333333333336

-----2

SVM,VCRUZADAPROCESAMIENTO2,Tiempo,164.72374320030212,K-folds,3,NumTextos,-1
,precision,recall,f1-score,support
0,1.0,0.9899999999999999,0.9966666666666667,36.666666666666664
1,0.9866666666666667,1.0,0.9933333333333333,26.666666666666668
accuracy,-,-,0.9933333333333333,63.333333333333336
macro avg,0.9933333333333333,0.9966666666666667,0.9933333333333333,63.333333333333336
weighted avg,0.9933333333333333,0.9933333333333333,0.9933333333333333,63.333333333333336


NAIVE,VCRUZADAPROCESAMIENTO2,Tiempo,163.61337757110596,K-folds,3,NumTextos,-1
,precision,recall,f1-score,support
0,1.0,0.9,0.9466666666666667,36.666666666666664
1,0.88,1.0,0.9366666666666666,26.666666666666668
accuracy,-,-,0.9433333333333334,63.333333333333336
macro avg,0.94,0.9533333333333333,0.9433333333333334,63.333333333333336
weighted avg,0.9499999999999998,0.9433333333333334,0.9433333333333334,63.333333333333336


DISTILBERT-BASE-UNCASED,VCRUZADAPROCESAMIENTO2,Tiempo,2169.3675010204315,K-folds,3,NumTextos,-1
,precision,recall,f1-score,support
0,0.85,1.0,0.9133333333333334,36.666666666666664
1,1.0,0.7066666666666667,0.79,26.666666666666668
accuracy,-,-,0.8766666666666666,63.333333333333336
macro avg,0.9266666666666666,0.8533333333333334,0.8533333333333334,63.333333333333336
weighted avg,0.9133333333333334,0.8766666666666666,0.8633333333333333,63.333333333333336


DCCUCHILE/BERT-BASE-SPANISH-WWM-CASED,VCRUZADAPROCESAMIENTO2,Tiempo,7165.572788476944,K-folds,3,NumTextos,-1
,precision,recall,f1-score,support
0,1.0,0.9899999999999999,0.9966666666666667,36.666666666666664
1,0.9866666666666667,1.0,0.9933333333333333,26.666666666666668
accuracy,-,-,0.9933333333333333,63.333333333333336
macro avg,0.9933333333333333,0.9966666666666667,0.9933333333333333,63.333333333333336
weighted avg,0.9933333333333333,0.9933333333333333,0.9933333333333333,63.333333333333336


PLANTL-GOB-ES/ROBERTA-BASE-BNE,VCRUZADAPROCESAMIENTO2,Tiempo,5077.588089466095,K-folds,3,NumTextos,-1
,precision,recall,f1-score,support
0,0.89,1.0,0.9433333333333334,36.666666666666664
1,1.0,0.8233333333333333,0.9033333333333333,26.666666666666668
accuracy,-,-,0.9266666666666666,63.333333333333336
macro avg,0.9466666666666667,0.9133333333333334,0.9199999999999999,63.333333333333336
weighted avg,0.9366666666666666,0.9266666666666666,0.9233333333333333,63.333333333333336


BERTIN-PROJECT/BERTIN-ROBERTA-BASE-SPANISH,VCRUZADAPROCESAMIENTO2,Tiempo,5492.2956635952,K-folds,3,NumTextos,-1
,precision,recall,f1-score,support
0,0.85,0.7399999999999999,0.6999999999999998,36.666666666666664
